"","total_route","single_distance","single_cargo_weight","single_cargo_volume","total_travel_time"
"1",1,0,0,0,0
"2",3,0.1333252646277,50,29,10.0022220877438
"3",2,0.27155109334418,12,7,16.0045258515557
"4",4,0.404133884055658,19.5,11.5,48.0067355647343
"5",56,0.156291782481897,57,33,22.0026048630414
"6",189,0.0590969525676917,27.5,16.5,10.0009849492095
"7",193,0,10,5,50
"8",188,0.0154551420512685,59,34,28.0002575857009
"9",199,0.0469682091326865,32.5,18.5,16.0007828034855
"10",204,0.000706327973874671,17.5,9.5,12.0000117721329
"11",236,0,14,8,32
"12",244,0,40,24,28
"13",255,0,33,19,42
"14",263,0,52,31,40
"15",274,0.0026294609111092,45,25,30.0000438243485
"16",235,0.0121262435598668,36,21,12.0002021040593
"17",234,0,13,7,24
"18",233,0,27.5,15.5,16
"19",232,0,19.5,11.5,26
"20",231,0,30,17,18
"21",230,0,21,12,18
"22",229,0,22,13,44
"23",228,0,52.5,30.5,32
"24",227,0,35.5,19.5,32
"25",226,0,38.5,22.5,48
"26",225,0,55.5,31.5,12
"27",224,0,13,7,48
"28",223,0,55,31,8
"29",222,0,8,4,34
"30",221,0,39.5,22.5,24
"31",220,0,26.5,14.5,36
"32",219,0,45,27,16
"33",218,0,18,10,30
"34",217,0,33.5,18.5,18
"35",216,0,22.5,13.5,8
"36",215,0,9.5,5.5,42
"37",214,0,49.5,28.5,42
"38",213,0,51.5,30.5,24
"39",212,0,25.5,13.5,24
"40",211,0,29.5,17.5,30
"41",210,0,37,22,28
"42",209,0,33,19,46
"43",208,0,53.5,30.5,2
"44",207,0,2,1,40
"45",206,0,49.5,29.5,40
"46",205,0,48,28,28
"47",203,0.0030072972395781,34,20,16.0000501216207
"48",202,0,18,10,24
"49",201,0,30,18,36
"50",200,0.000706327973874671,45,27,18.0000117721329
"51",243,0.0017551440107366,22,13,32.0000292524002
"52",242,0,38,22,36
"53",241,0,42.5,24.5,14
"54",240,0,16.5,9.5,12
"55",239,0,15,9,42
"56",238,0,51.5,30.5,32
"57",237,0,38,22,32
"58",262,0.00194638695366849,37,21,30.0000324397826
"59",261,0,32.5,17.5,24
"60",260,0,25,13,22
"61",259,0,27,16,14
"62",258,0,15,8,20
"63",257,0,24,14,8
"64",256,0,10,6,38
"65",271,0.00423533986232424,42.5,23.5,34.0000705889977
"66",273,0,38,21,44
"67",272,0,52,30,50
"68",264,0.0026294609111092,58,33,24.0000438243485
"69",270,0,26,14,6
"70",269,0,7.5,4.5,14
"71",268,0,14.5,7.5,16
"72",267,0,16,8,48
"73",266,0,57,33,26
"74",265,0,30.5,17.5,18
"75",254,0.010138816949788,21.5,12.5,24.0001689802825
"76",253,0,26.5,14.5,54
"77",252,0,62.5,35.5,24
"78",251,0,25.5,13.5,20
"79",250,0,20,10,32
"80",249,0,36.5,20.5,48
"81",248,0,58,34,42
"82",247,0,47.5,26.5,10
"83",246,0,10.5,5.5,46
"84",245,0,53.5,30.5,12
"85",275,0.0313643742522681,15,9,14.0005227395709
"86",277,0,14,7,4
"87",739,0.0317488769391107,4,2,42.000529147949
"88",763,0,49,28,12
"89",799,0,14,8,48
"90",844,0,57.5,33.5,6
"91",876,0,6,3,22
"92",895,0,22.5,11.5,52
"93",907,0,60,34,46
"94",917,0,53.5,30.5,34
"95",924,0,42,25,42
"96",944,0,52,31,12
"97",968,0,14,8,28
"98",1107,0,33.5,19.5,18
"99",1113,0,22.5,13.5,30
"100",1161,0,37,22,34
"101",1192,0,40.5,23.5,32
"102",1242,0,37,21,50
"103",1253,0,60,35,40
"104",1268,0,46.5,26.5,42
"105",1325,0,51.5,30.5,16
"106",1334,0,16,8,18
"107",1375,0,21.5,12.5,8
"108",1385,0,9.5,5.5,20
"109",1409,0,24,14,46
"110",1424,0,55.5,32.5,32
"111",1795,0.00696120836987581,38.5,22.5,32.0001160201395
"112",1772,0.00233139210819969,35,19,56.0000388565351
"113",1775,0.00128192761256406,66,38,36.0000213654602
"114",1774,0.000257236000937448,43,25,40.0000042872667
"115",1773,0.00128192761256406,45.5,25.5,22.0000213654602
"116",1776,0.000257236000937448,25,14,28.0000042872667
"117",1794,0,33,19,52
"118",1793,0,61.5,35.5,46
"119",1792,0,53.5,30.5,36
"120",1791,0,40,22,42
"121",1790,0,48,27,16
"122",1789,0,16,8,56
"123",1788,0,66,38,18
"124",1787,0,22.5,13.5,36
"125",1786,0,42.5,24.5,32
"126",1785,0,38.5,22.5,54
"127",1784,0,63,36,28
"128",1783,0,32.5,18.5,42
"129",1782,0,50.5,29.5,32
"130",1781,0,35,19,14
"131",1780,0,16.5,9.5,16
"132",1779,0,18,10,20
"133",1778,0,21.5,11.5,28
"134",1777,0,31.5,17.5,44
"135",1800,0.0034781217274005,50.5,28.5,44.0000579686955
"136",1802,0.00180727305955859,52.5,30.5,36.0000301212177
"137",1804,0,41.5,23.5,16
"138",1812,0.00265089392446847,16.5,8.5,32.0000441815654
"139",1809,0.00294365134203807,35,19,34.0000490608557
"140",1805,0.00347812161780006,38.5,21.5,40.0000579686936
"141",1811,0.00235302642205135,46,26,16.000039217107
"142",1840,0.00463829632785303,18.5,10.5,30.0000773049388
"143",1815,0.00211034184588013,36.5,21.5,58.0000351723641
"144",1817,0.00127167105559003,67.5,38.5,14.0000211945176
"145",1816,0.00242065618742871,15.5,8.5,38.0000403442698
"146",1818,0.00114913207651425,43.5,24.5,26.0000191522013
"147",1837,0,29,16,42
"148",1839,0,48,27,46
"149",1841,0.00267434288490326,55.5,32.5,42.0000445723814
"150",1843,0,51.5,30.5,22
"151",1845,0,25.5,14.5,48
"152",1847,0.00510285813498357,58,34,12.0000850476356
"153",1867,0.00205692389075053,15,9,38.0000342820648
"154",1871,0,46.5,27.5,16
"155",1874,0,17.5,9.5,22
"156",1877,0,23.5,12.5,16
"157",1880,0.000353172399656813,18,10,38.0000058862067
"158",1964,0.0767775625766082,46.5,27.5,12.0012796260429
"159",1974,0,15,9,28
"160",1977,0,30,16,14
"161",2001,0,16.5,9.5,14
"162",2030,0,14,7,30
"163",1976,0.00741449007872757,37,22,44.0001235748346
"164",1975,0,53,31,18
"165",2031,0.00741449007872757,22,13,10.0001235748346
"166",2000,0.00668740937849596,11.5,6.5,34.000111456823
"167",1999,0,39,22,30
"168",1998,0,36.5,21.5,30
"169",1997,0,35.5,20.5,40
"170",1996,0,47.5,27.5,40
"171",1995,0,45.5,25.5,24
"172",1994,0,26.5,14.5,50
"173",1993,0,60,35,44
"174",1992,0,50.5,28.5,16
"175",1991,0,18.5,10.5,42
"176",1990,0,52,31,6
"177",1989,0,7.5,4.5,18
"178",1988,0,18,9,16
"179",1987,0,18,10,18
"180",1986,0,20,11,48
"181",1985,0,57,33,38
"182",1984,0,45.5,26.5,58
"183",1983,0,67.5,38.5,26
"184",1982,0,27.5,14.5,12
"185",1981,0,13.5,7.5,18
"186",1980,0,20,11,24
"187",1979,0,27.5,15.5,30
"188",1978,0,35.5,20.5,22
"189",1973,0.00471307284743195,27,16,38.0000785512141
"190",1972,0,44,25,20
"191",1971,0,21,11,24
"192",1970,0,26,14,44
"193",1969,0,53,31,44
"194",1968,0,51.5,29.5,12
"195",1967,0,14,8,12
"196",1966,0,15,9,18
"197",1965,0,20.5,11.5,34
"198",2032,0.0110403546574982,37.5,20.5,32.000184005911
"199",2046,0,36.5,20.5,24
"200",2048,0,26.5,14.5,38
"201",2058,0,47,28,56
"202",2069,0.000752453152908303,65.5,37.5,10.0000125408859
"203",2074,0,10,5,14
"204",2073,0.000564735098210879,15,8,40.0000094122516
"205",2072,0,45.5,25.5,24
"206",2071,0,27.5,15.5,48
"207",2070,0,56.5,32.5,52
"208",2075,0.000564735098210879,62,36,44.0000094122516
"209",2059,0.00233210219642174,52,30,14.0000388683699
"210",2066,0,14.5,7.5,42
"211",2068,0,49,28,10
"212",2067,0,11,6,14
"213",2076,0.00270731519079174,17.5,10.5,50.0000451219198
"214",2102,0.00144524268045185,57.5,32.5,42.000024087378
"215",2104,0.00222436522095477,50.5,29.5,30.0000370727537
"216",1900,0.0929880457039165,34,19,4.00154980076173
"217",1899,0.00100745151277778,4,2,58.0000167908585
"218",1920,0.0571320780699002,67.5,38.5,42.0009522013012
"219",1925,0.0016068077086808,51,30,12.0000267801285
"220",304,0.0681068397537034,14.5,8.5,52.0011351139959
"221",307,0.00141268424926372,60,34,6.00002354473749
"222",309,0,7.5,4.5,24
"223",317,0,28.5,16.5,32
"224",325,0,36,20,40
"225",327,0,45.5,25.5,42
"226",324,0.00450188693139941,52,31,30.0000750314489
"227",323,0,37.5,22.5,32
"228",322,0,40,24,10
"229",321,0,10.5,5.5,2
"230",320,0,2,1,46
"231",319,0,55,32,44
"232",318,0,50.5,28.5,16
"233",316,0.00444930843845035,20,12,30.0000741551406
"234",315,0,36.5,21.5,22
"235",314,0,23.5,12.5,40
"236",313,0,47.5,27.5,46
"237",312,0,55.5,32.5,28
"238",311,0,34,20,24
"239",310,0,25.5,13.5,54
"240",308,0.00311831295923895,64,37,8.00005197188266
"241",328,0.0120494342633949,9.5,5.5,14.0002008239044
"242",326,0.00236745106434858,14,7,26.0000394575177
"243",329,0.00236745106434858,28,15,42.0000394575177
"244",360,0.00349533170913943,48.5,27.5,44.0000582555285
"245",362,0,51.5,29.5,36
"246",404,0,41,23,42
"247",406,0,51.5,30.5,14
"248",521,0,17.5,10.5,14
"249",557,0,15,8,22
"250",588,0,27.5,16.5,20
"251",622,0,21.5,11.5,44
"252",658,0,52,30,4
"253",681,0,5,3,30
"254",711,0,34,19,38
"255",732,0,46,27,28
"256",738,0,32,18,16
"257",1764,0.0237632573305645,19,11,42.0003960542888
"258",1766,0,50,29,42
"259",1768,0,52,31,52
"260",1767,0.000824381584344443,61,35,8.00001373969307
"261",1761,0.000803365108738366,9,5,46.0000133894185
"262",1763,0,52.5,29.5,12
"263",1762,0,14.5,8.5,28
"264",278,0.0322128681537211,35,21,24.0005368811359
"265",284,0,28,16,42
"266",283,0.0159817466505938,48,27,28.0002663624442
"267",282,0,31,17,20
"268",281,0,21,11,26
"269",280,0,30.5,17.5,2
"270",279,0,2,1,20
"271",285,0.0159817466505938,24.5,14.5,22.0002663624442
"272",1842,0.0360106273221824,26.5,15.5,30.000600177122
"273",1887,0.0142552136397832,34.5,19.5,40.000237586894
"274",1890,0.000477594229471268,49,29,34.0000079599038
"275",1896,0,39.5,22.5,16
"276",1895,0.00437755541307606,19,11,22.0000729592569
"277",1894,0,26,15,48
"278",1893,0,57.5,33.5,40
"279",1892,0,45.5,25.5,26
"280",1891,0,31.5,18.5,14
"281",1897,0.00437755541307606,16,9,10.0000729592569
"282",2029,0.0654844907889822,10.5,5.5,8.00109140817982
"283",2028,0,9,5,10
"284",2027,0,12,7,32
"285",2026,0,35,19,38
"286",2025,0,47,28,42
"287",2024,0,51,30,22
"288",2023,0,25.5,14.5,50
"289",2022,0,57.5,32.5,46
"290",2021,0,53,30,22
"291",2020,0,23.5,12.5,14
"292",2019,0,15.5,8.5,36
"293",2018,0,41,23,48
"294",2017,0,57,33,56
"295",2016,0,65.5,37.5,28
"296",2015,0,30.5,16.5,48
"297",2014,0,57.5,33.5,26
"298",2013,0,32.5,19.5,24
"299",2012,0,25.5,13.5,22
"300",2011,0,22.5,11.5,22
"301",2010,0,27,16,30
"302",2009,0,32.5,17.5,30
"303",2008,0,35.5,20.5,12
"304",2007,0,12.5,6.5,34
"305",2006,0,37.5,20.5,38
"306",2005,0,44,25,34
"307",2004,0,39,22,30
"308",2003,0,33,18,8
"309",2002,0,9.5,5.5,14
"310",2077,0.0207930234182208,14,7,8.0003465503903
"311",2088,0,9,5,24
"312",2101,0.00189002559432659,25.5,13.5,30.0000315004266
"313",2358,0.0653378772537229,34.5,19.5,2.0010889646209
"314",2357,0.00722696169599832,2.5,1.5,54.0001204493616
"315",2761,0.0731146836282064,64,37,30.0012185780605
"316",2763,0.000125413679163937,33,18,42.000002090228
"317",2765,0.00799499062182117,50,29,22.0001332498437
"318",2769,0.00598303827417317,24,13,42.0000997173046
"319",2867,0.0110581186763961,50.5,29.5,24.0001843019779
"320",2875,0,27,15,40
"321",2874,0.00522044649108252,49,29,40.0000870074415
"322",2873,0,48,28,24
"323",2872,0,25,13,30
"324",2871,0,37,22,14
"325",2870,0,17.5,10.5,40
"326",2869,0,50,30,6
"327",2868,0,6,3,30
"328",2877,0.00308344650659229,37,22,22.0000513907751
"329",2854,0.0124490812619093,22.5,11.5,32.0002074846877
"330",2866,0,35.5,19.5,8
"331",2878,0.00650084866390028,9,5,22.0001083474777
"332",2882,0.00146403794560738,25,14,36.0000244006324
"333",2885,0.00180162970734969,40,22,8.00003002716179
"334",2887,0,9,5,50
"335",2799,0.0263842727125521,58.5,33.5,18.0004397378785
"336",2798,0.000826044460608342,21.5,12.5,20.0000137674077
"337",2804,0.00446733591911693,21,11,36.0000744555987
"338",2809,0.000530989713170137,41.5,23.5,8.00000884982855
"339",2824,0,8.5,4.5,28
"340",2835,0,32,18,26
"341",2850,0,32.5,19.5,42
"342",2852,0,51,30,46
"343",2879,0.00980751894958887,52.5,29.5,28.0001634586492
"344",2881,0.00016069824069789,33,19,4.00000267830401
"345",2880,0.000206514983176738,5,3,26.0000034419164
"346",2884,0.00188124259606251,30,17,44.0000313540433
"347",2883,0.00180162970734969,53.5,31.5,6.00003002716179
"348",2890,0.0107755988083153,6,3,2.00017959331347
"349",2892,0,2,1,32
"350",2902,0.00571692829437913,35.5,19.5,28.0000952821382
"351",2802,0.0733708779353034,30,16,20.0012228479656
"352",2801,0.00256339568877588,24.5,14.5,38.0000427232615
"353",2803,0.00656152614365175,45,26,50.0001093587691
"354",2806,0.000530989690359027,59.5,34.5,26.0000088498282
"355",2823,0.0020317128162559,28,15,22.0000338618803
"356",2822,0,22.5,11.5,42
"357",2821,0,50,29,22
"358",2820,0,24.5,13.5,48
"359",2819,0,56.5,32.5,16
"360",2818,0,17.5,9.5,34
"361",2817,0,38.5,21.5,30
"362",2816,0,35,20,38
"363",2815,0,43.5,24.5,14
"364",2814,0,17,10,46
"365",2813,0,52.5,29.5,46
"366",2812,0,56,33,38
"367",2811,0,42.5,23.5,34
"368",2810,0,41,24,46
"369",2849,0.00118848328063512,55.5,32.5,22.0000198080547
"370",2848,0,24,13,18
"371",2847,0,22.5,13.5,36
"372",2846,0,40.5,22.5,22
"373",2845,0,26,15,36
"374",2844,0,44,26,30
"375",2843,0,36.5,21.5,26
"376",2842,0,27.5,14.5,22
"377",2841,0,27.5,16.5,42
"378",2840,0,51,30,28
"379",2839,0,32,18,34
"380",2838,0,41.5,24.5,24
"381",2837,0,26,14,20
"382",2836,0,25,15,16
"383",2865,0.00170234989279695,16.5,8.5,28.0000283724982
"384",2864,0,34,20,32
"385",2863,0,39,23,42
"386",2862,0,48,27,20
"387",2861,0,21,11,32
"388",2860,0,36,20,16
"389",2859,0,16.5,8.5,44
"390",2858,0,52.5,30.5,46
"391",2857,0,56,33,18
"392",2856,0,22.5,13.5,16
"393",2855,0,18,10,24
"394",2807,0.00409222132982915,27,15,48.0000682036888
"395",2805,0.000530989713170137,55,31,32.0000088498286
"396",2808,0.000257297106849966,36.5,20.5,38.0000042882851
"397",2853,0.025026532435078,45.5,26.5,6.00041710887392
"398",2770,0.0134104809332254,6.5,3.5,36.0002235080156
"399",2772,0,45,27,32
"400",2797,0,38,22,26
"401",2796,0,32,19,48
"402",2795,0,55,31,30
"403",2794,0,36,21,40
"404",2793,0,49.5,29.5,48
"405",2792,0,57.5,33.5,32
"406",2791,0,38,22,40
"407",2790,0,48.5,28.5,32
"408",2789,0,39.5,23.5,20
"409",2788,0,20.5,10.5,16
"410",2787,0,19.5,11.5,48
"411",2786,0,56,32,48
"412",2785,0,56,32,24
"413",2784,0,30,18,22
"414",2783,0,23,12,10
"415",2782,0,12.5,7.5,18
"416",2781,0,22.5,13.5,58
"417",2780,0,67.5,38.5,30
"418",2779,0,33.5,18.5,16
"419",2778,0,20,12,20
"420",2777,0,24,14,34
"421",2776,0,40,23,52
"422",2775,0,61,35,18
"423",2774,0,20.5,11.5,34
"424",2773,0,39,22,28
"425",2800,0.000826044460608342,34,20,36.0000137674077
"426",2851,0.0412939683523591,45,27,24.0006882328059
"427",2834,0.00835976386661659,28.5,16.5,44.0001393293978
"428",2833,0,50,28,28
"429",2832,0,33,19,52
"430",2831,0,61,35,26
"431",2830,0,30,17,40
"432",2829,0,50,30,42
"433",2828,0,51,30,10
"434",2827,0,10,5,20
"435",2826,0,20.5,10.5,34
"436",2825,0,40.5,23.5,44
"437",2350,0.0849808881854499,51,29,12.0014163481364
"438",2352,0.00118290302581354,14,8,20.0000197150504
"439",2354,0.00543860866719508,22,12,14.0000906434778
"440",2356,0.00025083136125979,16,9,52.0000041805227
"441",2359,0.00722696169599832,62,36,40.0001204493616
"442",2353,0.011679602784254,46.5,26.5,10.0001946600464
"443",2360,0.00922955411481246,10.5,5.5,28.0001538259019
"444",2362,0,30,16,34
"445",2750,0.139657103564125,40.5,23.5,52.0023276183927
"446",2355,0.0480210712133388,60.5,34.5,34.0008003511869
"447",2342,0.0202699324147362,39,22,10.0003378322069
"448",2341,0.000365480653226481,11,6,8.00000609134422
"449",2337,0.000160696404665974,8,4,24.0000026782734
"450",2340,0,25.5,13.5,20
"451",2339,0,24,14,44
"452",2338,0,52.5,30.5,34
"453",2343,0.000365480653226481,39.5,22.5,26.0000060913442
"454",2346,0,28,15,56
"455",2348,0.000477610484992287,66,38,28.0000079601747
"456",2384,0.0426022667286195,31.5,17.5,30.0007100377788
"457",2386,0,33.5,18.5,22
"458",2600,0.0102073086651841,24.5,13.5,20.0001701218111
"459",2646,0,21.5,11.5,24
"460",2664,0,29,17,12
"461",2692,0,13,7,14
"462",2710,0,16.5,9.5,20
"463",2715,0.000406349777335376,25,15,28.0000067724963
"464",2721,5.80090567069451e-05,30,16,52.0000009668176
"465",2720,5.80090563379432e-05,60.5,34.5,4.00000096681761
"466",2719,0,4,2,14
"467",2718,0,14.5,7.5,48
"468",2717,0,57,33,22
"469",2722,5.80090563379432e-05,27.5,16.5,36.0000009668176
"470",2724,0.00028238744979506,40.5,22.5,6.0000047064575
"471",2726,0,6.5,3.5,6
"472",2728,0,6,3,40
"473",2730,0,50,30,40
"474",2735,0.000115971044640228,47.5,27.5,26.0000019328507
"475",2742,0,31,18,38
"476",2748,0,43,24,56
"477",2741,5.79855208485923e-05,65.5,37.5,18.0000009664253
"478",2740,0,21.5,12.5,56
"479",2739,0,65.5,37.5,12
"480",2738,0,14.5,8.5,54
"481",2737,0,63.5,36.5,36
"482",2736,0,43.5,25.5,24
"483",2749,5.79855208485923e-05,27.5,15.5,22.0000009664253
"484",2408,0.0306501238236878,24.5,13.5,2.00051083539706
"485",2410,0,2.5,1.5,44
"486",2412,0.000173955220488377,53.5,31.5,16.0000028992537
"487",2416,0.000282343153046012,20,12,24.0000047057192
"488",2306,0.07041960235739,28,16,32.0011736600393
"489",2417,0.0730488554874178,37.5,21.5,16.0012174809248
"490",2421,0,19,11,44
"491",2426,0.000955227089189014,51,29,40.0000159204515
"492",2429,0,45.5,25.5,38
"493",2446,0,45.5,26.5,42
"494",2483,0,52,31,40
"495",2487,0,49.5,29.5,40
"496",2523,0,48.5,28.5,6
"497",2527,0,7,4,16
"498",2552,0,19,11,26
"499",2557,0.000160666022298973,27.5,14.5,44.000002677767
"500",2564,0,51.5,29.5,28
"501",2570,0,30,16,46
"502",2596,0,54.5,31.5,16
"503",2599,0,16.5,8.5,34
"504",2598,0,41.5,24.5,34
"505",2597,0,40.5,23.5,10
"506",2387,0.0102073086651841,10.5,5.5,18.0001701218111
"507",2401,0,19.5,10.5,36
"508",2403,0,41.5,23.5,26
"509",2405,0.00497983763340383,29,16,10.0000829972939
"510",2422,0.00324926591572376,11,6,38.0000541544319
"511",2425,0,42.5,23.5,8
"512",2569,0.00243892645525229,8,4,36.0000406487743
"513",2568,0,42,24,38
"514",2567,0,46,27,14
"515",2566,0,17.5,10.5,44
"516",2565,0,52,30,38
"517",2714,0.00236754733223069,46.5,27.5,26.0000394591222
"518",2712,0.000206518910823301,28.5,15.5,10.0000034419818
"519",2711,0.000669686721259307,12,7,28.0000111614454
"520",2713,0.000222389854168448,34.5,20.5,42.0000037064976
"521",2406,0.0055036042563696,49.5,28.5,44.0000917267376
"522",2402,0.0050465756680604,50,28,38.0000841095945
"523",2407,0.0050465756680604,45,26,26.0000841095945
"524",2365,0.00827400158939857,28.5,15.5,8.00013790002649
"525",2379,0,8.5,4.5,32
"526",2381,0,35,19,30
"527",2383,0,32.5,17.5,50
"528",2361,0.0249375078843183,59.5,34.5,34.0004156251314
"529",2349,0.0621089803632802,40.5,23.5,52.0010351496727
"530",2108,0.0347179895747851,60,34,30.0005786331596
"531",2120,0,33,18,46
"532",2122,0,53,30,20
"533",2137,0.000115985133124796,21.5,11.5,34.0000019330856
"534",2141,0,41.5,24.5,30
"535",2154,0,35,20,56
"536",2165,0,66,38,26
"537",2168,0,30.5,17.5,40
"538",2170,0,48.5,28.5,14
"539",2192,0,14,7,28
"540",2212,0.000688405348701307,34.5,20.5,32.0000114734225
"541",2222,0,37,21,12
"542",2225,0,12,6,44
"543",2255,0,51.5,29.5,16
"544",2269,0,20,12,34
"545",2271,0,38.5,21.5,22
"546",2284,0.00103137419937904,23.5,12.5,32.00001718957
"547",2298,0,35,19,28
"548",2302,0,33.5,19.5,32
"549",2305,0,36.5,20.5,4
"550",2307,0.00624448868379046,4.5,2.5,60.0001040748114
"551",2316,0,70,40,34
"552",2319,0,38,21,40
"553",2322,0,45.5,25.5,30
"554",2325,0.000125415567800647,37.5,22.5,46.0000020902595
"555",2321,0.000413023434091237,55,32,48.0000068837239
"556",2320,0,58,34,24
"557",2318,0.000333584781252672,27.5,15.5,12.0000055597464
"558",2317,0,14.5,8.5,56
"559",2326,0.000655925997036327,66,38,42.0000109320999
"560",2323,0.000160696357285615,51.5,30.5,12.0000026782726
"561",2327,0.000250831126755347,12,6,40.0000041805188
"562",2332,0.000250831122331232,48,28,36.0000041805187
"563",2336,0,40,22,4
"564",2347,0.000964178376899697,4,2,22.0000160696396
"565",2345,0.000533769019621508,24,13,24.0000088961503
"566",2344,0,26,14,26
"567",2335,0.00137898222712733,27.5,14.5,22.0000229830371
"568",2334,0,25.5,14.5,28
"569",2333,0,31,17,26
"570",2331,0,31,18,42
"571",2330,0.000111194927084224,49.5,28.5,1.85324878473707e-06
"572",2329,0,0,0,38
"573",2324,0.000290032392721516,46.5,27.5,22.0000048338732
"574",2328,0.000786962696236463,24,13,54.0000131160449
"575",2351,0.0499758561199512,63,36,36.0008329309353
"576",2771,0.081181466179193,41,23,46.0013530244363
"577",2876,0.0100344713891303,52.5,29.5,56.0001672411898
"578",2888,0.0362791841359345,65.5,37.5,20.0006046530689
"579",2768,0.0383988767615411,24,14,8.00063998127936
"580",2766,0.00598303827417317,8,4,22.0000997173046
"581",2764,0.0129093880635802,24.5,13.5,18.0002151564677
"582",2767,0.0134195677946384,20,11,16.0002236594632
"583",2889,0.0383988767615411,19.5,11.5,10.0006399812794
"584",2751,0.0633589362406846,12,7,32.0010559822707
"585",2753,0.000125413675335068,38.5,22.5,32.0000020902279
"586",2752,0.000160690461764239,39,23,22.0000026781744
"587",2754,5.80023990074864e-05,27,16,28.0000009667067
"588",2760,0.000206501372955288,32.5,18.5,30.0000034416896
"589",2758,0.000338589843278454,36,21,38.0000056431641
"590",2755,0.000206501372955288,43,24,12.0000034416895
"591",2757,0,14.5,8.5,44
"592",2759,0.00022982933949522,54,32,22.000003830489
"593",2756,0.000558992013193062,23,12,14.0000093165336
"594",2762,0.000174007221121056,16.5,9.5,38.0000029001204
"595",2903,0.0810855220775316,43,24,36.001351425368
"596",2915,0,42,24,42
"597",2931,0,49.5,28.5,44
"598",2933,0,54,32,36
"599",2935,0.00139481556569615,43,25,10.0000232469261
"600",2950,0,12,7,22
"601",2952,0.00436521849587717,25.5,14.5,8.0000727536416
"602",2956,0,10,6,30
"603",2960,0,34,19,26
"604",2894,0.0493262672447905,32,19,28.0008221044541
"605",2901,0,30.5,16.5,28
"606",2900,0,34.5,20.5,42
"607",2899,0,50,29,26
"608",2898,0,29,16,32
"609",2897,0,36.5,20.5,40
"610",2896,0,46.5,26.5,40
"611",2895,0,47,27,26
"612",2893,0.00571692829437913,27.5,14.5,36.0000952821382
"613",2961,0.0493262672447905,40,22,24.0008221044541
"614",2965,0,29.5,17.5,20
"615",2969,0.0017366135157778,24,14,30.0000289435586
"616",2964,0.00453613493267563,34.5,19.5,24.0000756022489
"617",2963,0,28,16,18
"618",2962,0,20,11,36
"619",2968,0.00189694310957812,40.5,22.5,30.0000316157185
"620",2967,0,32.5,17.5,48
"621",2966,0.0017366135157778,56,32,58.0000289435586
"622",2970,0.00483958156511988,68,39,40.0000806596928
"623",2886,0.0486022698463258,46,26,30.0008100378308
"624",2971,0.0486022698463258,33.5,18.5,22.0008100378308
"625",2973,0.00477843424447281,23,12,10.0000796405707
"626",2975,0,11.5,6.5,38
"627",2979,0.00146402626113912,45,26,46.0000244004377
"628",2976,0.00165174649583524,55.5,32.5,32.0000275291083
"629",2978,0,38.5,22.5,32
"630",2977,0,35.5,19.5,18
"631",2974,0.00180076981000638,18.5,9.5,30.0000300128302
"632",2980,0.00422217129101202,34.5,19.5,48.0000703695215
"633",3004,0,56.5,32.5,44
"634",3007,0,50,28,36
"635",3009,0,44.5,26.5,22
"636",3008,0.000688389299576495,25,14,26.000011473155
"637",3010,0.000688389299576495,31.5,18.5,34.000011473155
"638",3014,0.000412933609308751,38.5,21.5,10.0000068822268
"639",3011,0.000463909812000063,11,6,40.0000077318302
"640",3013,0,45,25,44
"641",3015,0.000250814702022542,51.5,29.5,26.000004180245
"642",3031,0.00917673814137272,30,17,22.0001529456357
"643",3037,0,26.5,15.5,34
"644",3041,0,41.5,24.5,28
"645",3047,0,33,19,44
"646",3057,0,50,28,42
"647",3056,0.00165824725354949,50.5,29.5,52.0000276374542
"648",3055,0,60.5,34.5,20
"649",3054,0,24,14,26
"650",3053,0,28.5,15.5,30
"651",3052,0,32.5,17.5,30
"652",3051,0,36.5,21.5,16
"653",3050,0,16,8,12
"654",3049,0,12,6,14
"655",3048,0,16,9,30
"656",3058,0.00165824725354949,36.5,21.5,48.0000276374542
"657",3062,0,57.5,33.5,36
"658",3067,0,43,25,14
"659",3075,0,16,9,38
"660",3088,0,47,28,8
"661",3100,0,8.5,4.5,10
"662",3113,0,10,5,20
"663",3124,0,24.5,14.5,8
"664",3138,0,9,5,50
"665",3141,0,58,33,36
"666",3143,0,42,24,8
"667",3142,0.0019334399982769,9.5,5.5,16.000032224
"668",3144,0.0019334399982769,17.5,9.5,20.000032224
"669",3147,0,24,14,28
"670",3149,0,32.5,18.5,24
"671",3156,0,28,16,36
"672",3158,0.00328718642722332,44,26,24.0000547864405
"673",3160,0.000667169559676051,29,17,22.0000111194927
"674",3183,0,27,16,28
"675",3191,0,32,18,20
"676",3193,0.000567642080888804,20,10,34.0000094607013
"677",3195,0,41.5,24.5,40
"678",3202,0.00525350216022626,50,30,46.0000875583693
"679",3204,0,55.5,32.5,12
"680",3553,0.121082104198095,14,8,32.00201803507
"681",3575,0,35.5,19.5,26
"682",3583,0,32.5,19.5,22
"683",3608,0,23,12,42
"684",3611,0.00144540099352609,49,28,50.0000240900166
"685",3548,0.00425748213044536,58,33,32.0000709580355
"686",3552,0,35,19,28
"687",3551,0,31.5,17.5,32
"688",3550,0,40,24,40
"689",3549,0,46.5,26.5,56
"690",3622,0.00495130717026912,65.5,37.5,16.0000825217862
"691",3624,5.8035726032703e-05,20,12,36.0000009672621
"692",3626,0,44,26,20
